,network,image,original_label,original_predicted_label,predicted_label,target,method,IM1,IM2,correctness,l1,l2,linf,implausibility,optim_time,weak correctness,weak_correctness
0,mnist_output_100,0.0,7,7,,0.0,alibi-CF,,,0,,,,,4.76850962638855,,0
1,mnist_output_100,0.0,7,7,,1.0,alibi-CF,,,0,,,,,4.6000635623931885,,0
2,mnist_output_100,0.0,7,7,,2.0,alibi-CF,,,0,,,,,3.9158661365509033,,0
3,mnist_output_100,0.0,7,7,,3.0,alibi-CF,,,0,,,,,3.9733850955963135,,0
4,mnist_output_100,0.0,7,7,,4.0,alibi-CF,,,0,,,,,3.924590826034546,,0
5,mnist_output_100,0.0,7,7,,5.0,alibi-CF,,,0,,,,,4.046249866485596,,0
6,mnist_output_100,0.0,7,7,,6.0,alibi-CF,,,0,,,,,4.278753519058228,,0
7,mnist_output_100,0.0,7,7,,8.0,alibi-CF,,,0,,,,,4.862745523452759,,0
8,mnist_output_100,0.0,7,7,,9.0,alibi-CF,,,0,,,,,4.208385705947876,,0
9,mnist_output_100,1.0,2,2,,0.0,alibi-CF,,,0,,,,,4.19207501411438,,0
10,mnist_output_100,1.0,2,2,,1.0,alibi-CF,,,0,,,,,4.151628494262695,,0
11,mnist_output_100,1.0,2,2,,3.0,alibi-CF,,,0,,,,,4.236304521560669,,0
12,mnist_output_100,1.0,2,2,,4.0,alibi-CF,,,0,,,,,5.052514553070068,,0
13,mnist_output_100,1.0,2,2,,5.0,alibi-CF,,,0,,,,,5.040125131607056,,0
14,mnist_output_100,1.0,2,2,,6.0,alibi-CF,,,0,,,,,5.086199045181274,,0
15,mnist_output_100,1.0,2,2,,7.0,alibi-CF,,,0,,,,,4.507683038711548,,0
16,mnist_output_100,1.0,2,2,,8.0,alibi-CF,,,0,,,,,4.517795085906982,,0
17,mnist_output_100,1.0,2,2,,9.0,alibi-CF,,,0,,,,,4.517948865890503,,0
18,mnist_output_100,2.0,1,1,,0.0,alibi-CF,,,0,,,,,4.459858417510986,,0
19,mnist_output_100,2.0,1,1,,2.0,alibi-CF,,,0,,,,,5.282515525817871,,0
20,mnist_output_100,2.0,1,1,,3.0,alibi-CF,,,0,,,,,4.523616313934326,,0
21,mnist_output_100,2.0,1,1,,4.0,alibi-CF,,,0,,,,,4.639924764633179,,0
22,mnist_output_100,2.0,1,1,,5.0,alibi-CF,,,0,,,,,4.6169188022613525,,0
23,mnist_output_100,2.0,1,1,,6.0,alibi-CF,,,0,,,,,5.468272686004639,,0
24,mnist_output_100,2.0,1,1,,7.0,alibi-CF,,,0,,,,,5.478310823440552,,0
25,mnist_output_100,2.0,1,1,,8.0,alibi-CF,,,0,,,,,4.869988918304443,,0
26,mnist_output_100,2.0,1,1,,9.0,alibi-CF,,,0,,,,,4.874550819396973,,0
27,mnist_output_100,3.0,0,0,,1.0,alibi-CF,,,0,,,,,4.887787818908691,,0
28,mnist_output_100,3.0,0,0,,2.0,alibi-CF,,,0,,,,,5.689903259277344,,0
29,mnist_output_100,3.0,0,0,,3.0,alibi-CF,,,0,,,,,5.040464162826538,,0
30,mnist_output_100,3.0,0,0,,4.0,alibi-CF,,,0,,,,,5.071245193481445,,0
31,mnist_output_100,3.0,0,0,,5.0,alibi-CF,,,0,,,,,5.098276615142822,,0
32,mnist_output_100,3.0,0,0,,6.0,alibi-CF,,,0,,,,,5.89856481552124,,0
33,mnist_output_100,3.0,0,0,,7.0,alibi-CF,,,0,,,,,5.895700931549072,,0
34,mnist_output_100,3.0,0,0,,8.0,alibi-CF,,,0,,,,,5.773792505264282,,0
35,mnist_output_100,3.0,0,0,,9.0,alibi-CF,,,0,,,,,5.34398365020752,,0
36,mnist_output_100,4.0,4,4,,0.0,alibi-CF,,,0,,,,,5.266785383224487,,0
37,mnist_output_100,4.0,4,4,,1.0,alibi-CF,,,0,,,,,5.333371639251709,,0
38,mnist_output_100,4.0,4,4,,2.0,alibi-CF,,,0,,,,,6.165332317352295,,0
39,mnist_output_100,4.0,4,4,,3.0,alibi-CF,,,0,,,,,6.170877933502197,,0
40,mnist_output_100,4.0,4,4,,5.0,alibi-CF,,,0,,,,,5.533462762832642,,0
41,mnist_output_100,4.0,4,4,,6.0,alibi-CF,,,0,,,,,5.495432138442993,,0
42,mnist_output_100,4.0,4,4,,7.0,alibi-CF,,,0,,,,,5.455727815628052,,0
43,mnist_output_100,4.0,4,4,,8.0,alibi-CF,,,0,,,,,6.30633282661438,,0
44,mnist_output_100,4.0,4,4,,9.0,alibi-CF,,,0,,,,,6.409204959869385,,0
45,mnist_output_100,5.0,1,1,,0.0,alibi-CF,,,0,,,,,6.327762126922607,,0
46,mnist_output_100,5.0,1,1,,2.0,alibi-CF,,,0,,,,,5.634801149368286,,0
47,mnist_output_100,5.0,1,1,,3.0,alibi-CF,,,0,,,,,5.723802328109741,,0
48,mnist_output_100,5.0,1,1,,4.0,alibi-CF,,,0,,,,,5.726378679275513,,0
49,mnist_output_100,5.0,1,1,,5.0,alibi-CF,,,0,,,,,6.533245086669922,,0
50,mnist_output_100,5.0,1,1,,6.0,alibi-CF,,,0,,,,,5.85610556602478,,0
51,mnist_output_100,5.0,1,1,,7.0,alibi-CF,,,0,,,,,5.8837502002716064,,0
52,mnist_output_100,5.0,1,1,,8.0,alibi-CF,,,0,,,,,5.921419620513916,,0
53,mnist_output_100,5.0,1,1,,9.0,alibi-CF,,,0,,,,,6.715348482131958,,0
54,mnist_output_100,6.0,4,4,,0.0,alibi-CF,,,0,,,,,7.128302812576294,,0
55,mnist_output_100,6.0,4,4,,1.0,alibi-CF,,,0,,,,,6.773070573806763,,0
56,mnist_output_100,6.0,4,4,,2.0,alibi-CF,,,0,,,,,6.143628120422363,,0
57,mnist_output_100,6.0,4,4,,3.0,alibi-CF,,,0,,,,,6.140332460403442,,0
58,mnist_output_100,6.0,4,4,,5.0,alibi-CF,,,0,,,,,6.991021394729614,,0
59,mnist_output_100,6.0,4,4,,6.0,alibi-CF,,,0,,,,,6.1953513622283936,,0
60,mnist_output_100,6.0,4,4,,7.0,alibi-CF,,,0,,,,,6.314510107040405,,0
61,mnist_output_100,6.0,4,4,,8.0,alibi-CF,,,0,,,,,6.303805828094482,,0
62,mnist_output_100,6.0,4,4,,9.0,alibi-CF,,,0,,,,,7.168579816818237,,0
