,network,image,original_label,original_predicted_label,predicted_label,target,method,IM1,IM2,correctness,l1,l2,linf,implausibility,optim_time,faithfulness,weak correctness
0,mnist_output_100,0.0,7,7,,0.0,alibi-CF,,,0,,,,,4.76850962638855,,
1,mnist_output_100,0.0,7,7,,1.0,alibi-CF,,,0,,,,,4.6000635623931885,,
2,mnist_output_100,0.0,7,7,,2.0,alibi-CF,,,0,,,,,3.9158661365509033,,
3,mnist_output_100,0.0,7,7,,3.0,alibi-CF,,,0,,,,,3.9733850955963135,,
4,mnist_output_100,0.0,7,7,,4.0,alibi-CF,,,0,,,,,3.924590826034546,,
5,mnist_output_100,0.0,7,7,,5.0,alibi-CF,,,0,,,,,4.046249866485596,,
6,mnist_output_100,0.0,7,7,,6.0,alibi-CF,,,0,,,,,4.278753519058228,,
7,mnist_output_100,0.0,7,7,,8.0,alibi-CF,,,0,,,,,4.862745523452759,,
8,mnist_output_100,0.0,7,7,,9.0,alibi-CF,,,0,,,,,4.208385705947876,,
9,mnist_output_100,1.0,2,2,,0.0,alibi-CF,,,0,,,,,4.19207501411438,,
10,mnist_output_100,1.0,2,2,,1.0,alibi-CF,,,0,,,,,4.151628494262695,,
11,mnist_output_100,1.0,2,2,,3.0,alibi-CF,,,0,,,,,4.236304521560669,,
12,mnist_output_100,1.0,2,2,,4.0,alibi-CF,,,0,,,,,5.052514553070068,,
13,mnist_output_100,1.0,2,2,,5.0,alibi-CF,,,0,,,,,5.040125131607056,,
14,mnist_output_100,1.0,2,2,,6.0,alibi-CF,,,0,,,,,5.086199045181274,,
15,mnist_output_100,1.0,2,2,,7.0,alibi-CF,,,0,,,,,4.507683038711548,,
16,mnist_output_100,1.0,2,2,,8.0,alibi-CF,,,0,,,,,4.517795085906982,,
17,mnist_output_100,1.0,2,2,,9.0,alibi-CF,,,0,,,,,4.517948865890503,,
18,mnist_output_100,2.0,1,1,,0.0,alibi-CF,,,0,,,,,4.459858417510986,,
19,mnist_output_100,2.0,1,1,,2.0,alibi-CF,,,0,,,,,5.282515525817871,,
20,mnist_output_100,2.0,1,1,,3.0,alibi-CF,,,0,,,,,4.523616313934326,,
21,mnist_output_100,2.0,1,1,,4.0,alibi-CF,,,0,,,,,4.639924764633179,,
22,mnist_output_100,2.0,1,1,,5.0,alibi-CF,,,0,,,,,4.6169188022613525,,
23,mnist_output_100,2.0,1,1,,6.0,alibi-CF,,,0,,,,,5.468272686004639,,
24,mnist_output_100,2.0,1,1,,7.0,alibi-CF,,,0,,,,,5.478310823440552,,
25,mnist_output_100,2.0,1,1,,8.0,alibi-CF,,,0,,,,,4.869988918304443,,
26,mnist_output_100,2.0,1,1,,9.0,alibi-CF,,,0,,,,,4.874550819396973,,
27,mnist_output_100,3.0,0,0,,1.0,alibi-CF,,,0,,,,,4.887787818908691,,
28,mnist_output_100,3.0,0,0,,2.0,alibi-CF,,,0,,,,,5.689903259277344,,
29,mnist_output_100,3.0,0,0,,3.0,alibi-CF,,,0,,,,,5.040464162826538,,
30,mnist_output_100,3.0,0,0,,4.0,alibi-CF,,,0,,,,,5.071245193481445,,
31,mnist_output_100,3.0,0,0,,5.0,alibi-CF,,,0,,,,,5.098276615142822,,
32,mnist_output_100,3.0,0,0,,6.0,alibi-CF,,,0,,,,,5.89856481552124,,
33,mnist_output_100,3.0,0,0,,7.0,alibi-CF,,,0,,,,,5.895700931549072,,
34,mnist_output_100,3.0,0,0,,8.0,alibi-CF,,,0,,,,,5.773792505264282,,
35,mnist_output_100,3.0,0,0,,9.0,alibi-CF,,,0,,,,,5.34398365020752,,
36,mnist_output_100,4.0,4,4,,0.0,alibi-CF,,,0,,,,,5.266785383224487,,
37,mnist_output_100,4.0,4,4,,1.0,alibi-CF,,,0,,,,,5.333371639251709,,
38,mnist_output_100,4.0,4,4,,2.0,alibi-CF,,,0,,,,,6.165332317352295,,
39,mnist_output_100,4.0,4,4,,3.0,alibi-CF,,,0,,,,,6.170877933502197,,
40,mnist_output_100,4.0,4,4,,5.0,alibi-CF,,,0,,,,,5.533462762832642,,
41,mnist_output_100,4.0,4,4,,6.0,alibi-CF,,,0,,,,,5.495432138442993,,
42,mnist_output_100,4.0,4,4,,7.0,alibi-CF,,,0,,,,,5.455727815628052,,
43,mnist_output_100,4.0,4,4,,8.0,alibi-CF,,,0,,,,,6.30633282661438,,
44,mnist_output_100,4.0,4,4,,9.0,alibi-CF,,,0,,,,,6.409204959869385,,
45,mnist_output_100,5.0,1,1,,0.0,alibi-CF,,,0,,,,,6.327762126922607,,
46,mnist_output_100,5.0,1,1,,2.0,alibi-CF,,,0,,,,,5.634801149368286,,
47,mnist_output_100,5.0,1,1,,3.0,alibi-CF,,,0,,,,,5.723802328109741,,
48,mnist_output_100,5.0,1,1,,4.0,alibi-CF,,,0,,,,,5.726378679275513,,
49,mnist_output_100,5.0,1,1,,5.0,alibi-CF,,,0,,,,,6.533245086669922,,
50,mnist_output_100,5.0,1,1,,6.0,alibi-CF,,,0,,,,,5.85610556602478,,
51,mnist_output_100,5.0,1,1,,7.0,alibi-CF,,,0,,,,,5.8837502002716064,,
52,mnist_output_100,5.0,1,1,,8.0,alibi-CF,,,0,,,,,5.921419620513916,,
53,mnist_output_100,5.0,1,1,,9.0,alibi-CF,,,0,,,,,6.715348482131958,,
54,mnist_output_100,6.0,4,4,,0.0,alibi-CF,,,0,,,,,7.128302812576294,,
55,mnist_output_100,6.0,4,4,,1.0,alibi-CF,,,0,,,,,6.773070573806763,,
56,mnist_output_100,6.0,4,4,,2.0,alibi-CF,,,0,,,,,6.143628120422363,,
57,mnist_output_100,6.0,4,4,,3.0,alibi-CF,,,0,,,,,6.140332460403442,,
58,mnist_output_100,6.0,4,4,,5.0,alibi-CF,,,0,,,,,6.991021394729614,,
59,mnist_output_100,6.0,4,4,,6.0,alibi-CF,,,0,,,,,6.1953513622283936,,
60,mnist_output_100,6.0,4,4,,7.0,alibi-CF,,,0,,,,,6.314510107040405,,
61,mnist_output_100,6.0,4,4,,8.0,alibi-CF,,,0,,,,,6.303805828094482,,
62,mnist_output_100,6.0,4,4,,9.0,alibi-CF,,,0,,,,,7.168579816818237,,
63,mnist_output_100,7.0,9,9,,0.0,alibi-CF,,,0,,,,,7.129940032958984,,
64,mnist_output_100,7.0,9,9,,1.0,alibi-CF,,,0,,,,,6.3485496044158936,,
65,mnist_output_100,7.0,9,9,,2.0,alibi-CF,,,0,,,,,6.412295341491699,,
66,mnist_output_100,7.0,9,9,,3.0,alibi-CF,,,0,,,,,6.543552875518799,,
67,mnist_output_100,7.0,9,9,,4.0,alibi-CF,,,0,,,,,7.428325176239014,,
68,mnist_output_100,7.0,9,9,,5.0,alibi-CF,,,0,,,,,7.0204246044158936,,
69,mnist_output_100,7.0,9,9,,6.0,alibi-CF,,,0,,,,,6.737757205963135,,
70,mnist_output_100,7.0,9,9,,7.0,alibi-CF,,,0,,,,,6.802847623825073,,
71,mnist_output_100,7.0,9,9,,8.0,alibi-CF,,,0,,,,,6.70611310005188,,
72,mnist_output_100,8.0,5,5,,0.0,alibi-CF,,,0,,,,,6.99442982673645,,
73,mnist_output_100,8.0,5,5,,1.0,alibi-CF,,,0,,,,,6.854647636413574,,
74,mnist_output_100,8.0,5,5,,2.0,alibi-CF,,,0,,,,,6.8334572315216064,,
75,mnist_output_100,8.0,5,5,,3.0,alibi-CF,,,0,,,,,6.923519134521484,,
76,mnist_output_100,8.0,5,5,,4.0,alibi-CF,,,0,,,,,7.800694227218628,,
77,mnist_output_100,8.0,5,5,,6.0,alibi-CF,,,0,,,,,7.015644550323486,,
78,mnist_output_100,8.0,5,5,,7.0,alibi-CF,,,0,,,,,6.990417957305908,,
79,mnist_output_100,8.0,5,5,,8.0,alibi-CF,,,0,,,,,6.953691244125366,,
80,mnist_output_100,8.0,5,5,,9.0,alibi-CF,,,0,,,,,7.925891876220703,,
81,mnist_output_100,9.0,9,9,,0.0,alibi-CF,,,0,,,,,7.806200504302978,,
82,mnist_output_100,9.0,9,9,,1.0,alibi-CF,,,0,,,,,7.246276140213013,,
83,mnist_output_100,9.0,9,9,,2.0,alibi-CF,,,0,,,,,7.298546075820923,,
84,mnist_output_100,9.0,9,9,,3.0,alibi-CF,,,0,,,,,7.323145389556885,,
85,mnist_output_100,9.0,9,9,,4.0,alibi-CF,,,0,,,,,8.211272716522217,,
86,mnist_output_100,9.0,9,9,,5.0,alibi-CF,,,0,,,,,8.185831069946289,,
87,mnist_output_100,9.0,9,9,,6.0,alibi-CF,,,0,,,,,7.424652338027954,,
88,mnist_output_100,9.0,9,9,,7.0,alibi-CF,,,0,,,,,7.494160652160644,,
89,mnist_output_100,9.0,9,9,,8.0,alibi-CF,,,0,,,,,7.558389663696289,,
90,mnist_output_100,10.0,0,0,,1.0,alibi-CF,,,0,,,,,8.439050436019897,,
91,mnist_output_100,10.0,0,0,,2.0,alibi-CF,,,0,,,,,8.42240023612976,,
92,mnist_output_100,10.0,0,0,,3.0,alibi-CF,,,0,,,,,7.7076427936553955,,
93,mnist_output_100,10.0,0,0,,4.0,alibi-CF,,,0,,,,,7.765721321105957,,
94,mnist_output_100,10.0,0,0,,5.0,alibi-CF,,,0,,,,,7.827943801879883,,
95,mnist_output_100,10.0,0,0,,6.0,alibi-CF,,,0,,,,,8.465094804763794,,
96,mnist_output_100,10.0,0,0,,7.0,alibi-CF,,,0,,,,,8.63449740409851,,
97,mnist_output_100,10.0,0,0,,8.0,alibi-CF,,,0,,,,,7.970504283905029,,
98,mnist_output_100,10.0,0,0,,9.0,alibi-CF,,,0,,,,,10.24020791053772,,
99,mnist_output_100,11.0,6,6,,0.0,alibi-CF,,,0,,,,,8.026600122451782,,
